Mode: single
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1150  3.243750
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1150            3.212500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1150   3.206250
360-sft                                                                                                                    3.175000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-575     3.175000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2300    3.168750
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-575      3.162500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-575             3.131250
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1725            3.087500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-575    3.050000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-575   3.037500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2300    2.900000
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2296            2.850000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-575     2.825000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2300     2.818750
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1725     2.812500
135-sft                                                                                                                    2.806250
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1150            2.793750
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2870            2.793750
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2870     2.781250
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1150    2.781250
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1725    2.756250
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1725  2.737500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2870  2.718750
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2870    2.706250
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2300  2.687500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1150     2.668750
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1150  2.656250
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-575             2.643750
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1725   2.637500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2870   2.612500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-575      2.587500
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2300            2.587500
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1725            2.543750
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2300   2.543750
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-575    2.531250
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-575   2.531250
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1150   2.506250
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2870            2.381250
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-575            2.212500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-575            2.025000
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-575                                 1.912500
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1150                                1.687500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2296           1.625000
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1150           1.553459
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1725                                1.550000
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1725           1.496855
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2870           1.450000
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1725                                1.443750
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2300                                1.425000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1150           1.381250
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2296                                1.356250
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2870                                1.293750
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-575                                 1.281250
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1150                                1.256250
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2870                                1.231250
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1725           1.225000
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1150                               1.208861
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-575                                1.208861
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2300           1.193750
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2870           1.143750
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-575                                1.025000
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1150                               1.025000
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1725                               1.012658
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2296                               1.006289
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2870                               1.006250
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2300                               1.006250
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2870                               1.006250
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1725                               1.000000
